Observer,ColorIndex,Display1,Display2,MatchingScore
aaa,1,1,2,5
aaa,1,1,2,5
aaa,1,1,3,5
aaa,1,1,3,3
aaa,1,1,4,5
aaa,1,1,4,5
aaa,1,2,3,4
aaa,1,2,3,4
aaa,1,2,4,5
aaa,1,2,4,4
aaa,1,3,4,3
aaa,1,3,4,4
aaa,2,1,2,5
aaa,2,1,2,4
aaa,2,1,3,4
aaa,2,1,3,3
aaa,2,1,4,0
aaa,2,1,4,0
aaa,2,2,3,4
aaa,2,2,3,3
aaa,2,2,4,0
aaa,2,2,4,0
aaa,2,3,4,0
aaa,2,3,4,0
aaa,3,1,2,4
aaa,3,1,2,4
aaa,3,1,3,4
aaa,3,1,3,3
aaa,3,1,4,5
aaa,3,1,4,5
aaa,3,2,3,3
aaa,3,2,3,3
aaa,3,2,4,4
aaa,3,2,4,3
aaa,3,3,4,3
aaa,3,3,4,3
aaa,4,1,2,4
aaa,4,1,2,4
aaa,4,1,3,4
aaa,4,1,3,3
aaa,4,1,4,5
aaa,4,1,4,4
aaa,4,2,3,4
aaa,4,2,3,3
aaa,4,2,4,5
aaa,4,2,4,4
aaa,4,3,4,4
aaa,4,3,4,3
aaa,5,1,2,5
aaa,5,1,2,4
aaa,5,1,3,4
aaa,5,1,3,3
aaa,5,1,4,0
aaa,5,1,4,0
aaa,5,2,3,3
aaa,5,2,3,2
aaa,5,2,4,0
aaa,5,2,4,0
aaa,5,3,4,0
aaa,5,3,4,0
aaa,6,1,2,4
aaa,6,1,2,4
aaa,6,1,3,4
aaa,6,1,3,4
aaa,6,1,4,4
aaa,6,1,4,4
aaa,6,2,3,5
aaa,6,2,3,4
aaa,6,2,4,5
aaa,6,2,4,5
aaa,6,3,4,4
aaa,6,3,4,4
aaa,7,1,2,5
aaa,7,1,2,4
aaa,7,1,3,2
aaa,7,1,3,3
aaa,7,1,4,4
aaa,7,1,4,4
aaa,7,2,3,4
aaa,7,2,3,4
aaa,7,2,4,5
aaa,7,2,4,4
aaa,7,3,4,3
aaa,7,3,4,3
